name,address,city,state,zip_code,phone,email,website,service_types,hours,populations_served,languages,eligibility,payment_options,data_source,latitude,longitude
Bridge Over Troubled Waters,"47 West Street Boston, Ma 02111",West Street  Boston,MA,02111,(617) 423-9575,,,Outpatient Services,,,English,,,BSAS,42.3503,-71.0629
COE- Askia Academy at Dimock,"34 Dimock Street Boston, Ma 02119",Dimock Street  Boston,MA,02119,(617) 442-9661,,,Residential Rehabilitation,,,English,,,BSAS,42.3251,-71.0953
Casa Esperanza,"291 Eustis Street Boston, Ma 02119",Eustis Street  Boston,MA,02119,(617) 445-1123,,,Residential Rehabilitation,,,English,,,BSAS,42.3251,-71.0953
Center for Recovery Services Outpatient,"210 Old Colony Ave. Boston, Ma 02127",Boston,MA,02127,(617) 268-5000,,,Outpatient Services,,,English,,,BSAS,42.3347,-71.0375
Charlestown Recovery House,"15 Bunker Hill Street Boston, Ma 02129",Street Boston,MA,02129,(617) 242-0088,,,Residential Rehabilitation,,,English,,,BSAS,42.3778,-71.0627
Codman Square Health Center Substance User Health Services,"637 Washington Street Boston, Ma 02124",Washington Street  Boston,MA,02124,(617) 825-9660,,,Outpatient Services,,,English,,,BSAS,42.2918,-71.0717
Commonwealth Mental Health & Wellness Center,"895 Blue Hill Ave Boston, Ma 02124",Ave Boston,MA,02124,(617) 506-8188,,,Outpatient Services,,,English,,,BSAS,42.2918,-71.0717
Community Behavioral Health Center (CBHC),"850 Harrison Avenue, 7Th Floor Boston, Ma 02118",Th Floor  Boston,MA,02118,(617) 414-5470,,,Outpatient Services,,,English,,,BSAS,42.3362,-71.0729
Dimock Clinical Stabilization Service,"56 Dimock Street Goddard Building, 3Rd Floor 56 Dimock Street Goddard Building Boston, Ma 02119",Building Boston,MA,02119,(617) 442-9661,,,24 Hour Diversionary Acute Treatment Services,,,English,,,BSAS,42.3251,-71.0953
Dimock Substance Abuse Treatment Services C.H.C.,"41 Dimock Street Boston, Ma 02119",Dimock Street  Boston,MA,02119,(617) 442-8800,,,24 Hour Diversionary Acute Treatment Services,,,English,,,BSAS,42.3251,-71.0953
Dimock-Outpatient Addiction and Recovery Services,"45 Dimock Street Boston, Ma 02119",Dimock Street  Boston,MA,02119,(617) 442-8800,,,Outpatient Services,,,English,,,BSAS,42.3251,-71.0953
Eileen's House,"2200 Dorchester Ave. Boston, Ma 02124",Boston,MA,02124,(617) 269-2933,,,Residential Rehabilitation,,,English,,,BSAS,42.2918,-71.0717
Entre Familia Program,"211 River Street E Building Boston, Ma 02126",Building Boston,MA,02126,(617) 534-9105,,,Residential Rehabilitation,,,English,,,BSAS,42.2739,-71.0939
Familias Unidas Outpatient Services,"302 Eustis Street Suite 1 Boston, Ma 02119",Boston,MA,02119,(617) 445-1123,,,Outpatient Services,,,English,,,BSAS,42.3251,-71.0953
Familias Unidas Outpatient Services,"245 Eustis Street Boston, Ma 02119",Eustis Street  Boston,MA,02119,(617) 445-1123,,,Outpatient Services,,,English,,,BSAS,42.3251,-71.0953
"Fathers' Uplift Family Group, LLC","12 Southern Avenue Boston, Ma 02124",Southern Avenue  Boston,MA,02124,(617) 708-0870,,,Outpatient Services,,,English,,,BSAS,42.2918,-71.0717
Faulkner - Addiction Recovery Program Inpatient,"1153 Centre Street 6-North Boston, Ma 02130",North Boston,MA,02130,(617) 983-7060,,,24 Hour Diversionary Acute Treatment Services,,,English,,,BSAS,42.3126,-71.1115
Gavin House,"675 East 4Th Street Boston, Ma 02127",Th Street  Boston,MA,02127,(617) 268-5517,,,Residential Rehabilitation,,,English,,,BSAS,42.3347,-71.0375
Granada House,"70-72 Adamson Street Boston, Ma 02134",Adamson Street  Boston,MA,02134,(617) 254-2923,,,Residential Rehabilitation,,,English,,,BSAS,42.3535,-71.1329
Habit Opco - Boston,"99 Topeka Street Boston, Ma 02118",Topeka Street  Boston,MA,02118,(617) 442-1499,,,Opioid Treatment,,,English,,,BSAS,42.3362,-71.0729
Habit Opco - Boston,"Boston Healthcare For The Homeless Ctc 780 Albany St Boston, Ma 02118",Albany St Boston,MA,02118,(857) 654-1000,,,Opioid Treatment,,,English,,,BSAS,42.3362,-71.0729
Health Care Resource Centers,"23 Bradston Street Boston, Ma 02118",Bradston Street  Boston,MA,02118,(617) 318-6480,,,Opioid Treatment,,,English,,,BSAS,42.3362,-71.0729
Health Care Resource Centers,"170 Morton Street Boston, Ma 02130",Morton Street  Boston,MA,02130,(617) 541-3670,,,Opioid Treatment,,,English,,,BSAS,42.3126,-71.1115
Hello House  Burt Street (COE),"66 Burt Street Boston, Ma 02124",Burt Street  Boston,MA,02124,(617) 288-3250,,,Residential Rehabilitation,,,English,,,BSAS,42.2918,-71.0717
Hello House for Men (COE),"686 Massachusetts Avenue Boston, Ma 02118",Massachusetts Avenue  Boston,MA,02118,(617) 390-0240,,,Residential Rehabilitation,,,English,,,BSAS,42.3362,-71.0729
Hope House (COE 24),"8 Farnham Street Boston, Ma 02119",Farnham Street  Boston,MA,02119,(617) 971-9360,,,Residential Rehabilitation,,,English,,,BSAS,42.3251,-71.0953
Hope House - OP,"8 Farnham Street Boston, Ma 02119",Farnham Street  Boston,MA,02119,(617) 971-9360,,,Outpatient Services,,,English,,,BSAS,42.3251,-71.0953
Institute for Health and Recovery Outpatient Services,"105 Chauncy St. Suite 602 Boston, Ma 02111",Boston,MA,02111,(617) 661-3991,,,Outpatient Services,,,English,,,BSAS,42.3503,-71.0629
Intensive Outpatient Substance treatment,"55 Warren Street Boston, Ma 02119",Warren Street  Boston,MA,02119,(617) 541-1829,,,Outpatient Services,,,English,,,BSAS,42.3251,-71.0953
Interim House,"62 Waldeck Street Boston, Ma 02124",Waldeck Street  Boston,MA,02124,(617) 265-2636,,,Residential Rehabilitation,,,English,,,BSAS,42.2918,-71.0717
Latinas y Ninos Center,"263 Eustis Street Boston, Ma 02119",Eustis Street  Boston,MA,02119,(617) 445-1123,,,Residential Rehabilitation,,,English,,,BSAS,42.3251,-71.0953
Leap Program,"5260 Washington Street Suite 12 Boston, Ma 02132",Boston,MA,02132,(617) 942-6040,,,Outpatient Services,,,English,,,BSAS,42.2787,-71.1589
Living and Recovery Community,"170 Morton St, 11Th Floor North Boston, Ma 02130",North Boston,MA,02130,(617) 522-2936,,,Residential Rehabilitation,,,English,,,BSAS,42.3126,-71.1115
Meridian House,"408 Meridian Street Boston, Ma 02128",Meridian Street  Boston,MA,02128,(617) 569-6050,,,Residential Rehabilitation,,,English,,,BSAS,42.3642,-71.0257
Mirasol Center for Healing,"170 Morton St., 12Th Flr S. Jamaica Plain Boston, Ma 02130",Jamaica Plain Boston,MA,02130,(617) 318-5118,,,24 Hour Diversionary Acute Treatment Services,,,English,,,BSAS,42.3126,-71.1115
New Joelyn's Home,"70 Brookledge Street Boston, Ma 02121",Brookledge Street  Boston,MA,02121,(617) 456-1201,,,Residential Rehabilitation,,,English,,,BSAS,42.2973,-71.0745
New Victories,"3 And 9 Virginia Street Boston, Ma 02125",Virginia Street  Boston,MA,02125,(617) 825-6088,,,Residential Rehabilitation,,,English,,,BSAS,42.2973,-71.0745
"North Suffolk Community Services, Inc.","14 Porter Street Boston, Ma 02128",Porter Street  Boston,MA,02128,(617) 912-7500,,,Outpatient Services,,,English,,,BSAS,42.3642,-71.0257
"North Suffolk Community Services, Inc.","25 Staniford Street Boston, Ma 02114",Staniford Street  Boston,MA,02114,(617) 912-7800,,,Outpatient Services,,,English,,,BSAS,42.3611,-71.0682
Pathways to Recovery Program,"895 Blue Hill Avenue Boston, Ma 02121",Avenue Boston,MA,02121,(617) 464-4696,,,Outpatient Services,,,English,,,BSAS,42.2973,-71.0745
Pathways to Recovery Program,"632 Blue Hill Avenue Boston, Ma 02121",Avenue Boston,MA,02121,(617) 825-3400,,,Outpatient Services,,,English,,,BSAS,42.2973,-71.0745
Pine Street Inn Ambulatory Substance Abuse Treatment Program,"170 Morton Street Boston, Ma 02130",Morton Street  Boston,MA,02130,(617) 892-7942,,,Outpatient Services,,,English,,,BSAS,42.3126,-71.1115
Providence Treatment,"896 Beacon Street Suite A Boston, Ma 02215",A Boston,MA,02215,(617) 314-7544,,,Outpatient Services,,,English,,,BSAS,42.3471,-71.1027
Recovery Services,"1601 Washington St. Boston, Ma 02118",Boston,MA,02118,(857) 206-7542,,,Outpatient Services,,,English,,,BSAS,42.3362,-71.0729
Recovery Services,"79 Paris St Boston, Ma 02128",Paris St  Boston,MA,02128,(617) 568-6260,,,Outpatient Services,,,English,,,BSAS,42.3642,-71.0257
Rehabilitation and Health,"52 White Street Boston, Ma 02128",White Street  Boston,MA,02128,(617) 569-2089,,,Residential Rehabilitation,,,English,,,BSAS,42.3642,-71.0257
Seeds of Change,"39 Boylston Street Boston, Ma 02116",Boylston Street  Boston,MA,02116,(617) 542-4211,,,Outpatient Services,,,English,,,BSAS,42.3492,-71.0768
Shepherd House,"22-24-26 Windermere Rd. Boston, Ma 02125",Boston,MA,02125,(617) 288-3906,,,Residential Rehabilitation,,,English,,,BSAS,42.2973,-71.0745
Shiloh House COE,"5 Parley Vale Boston, Ma 02130",Parley Vale  Boston,MA,02130,(857) 273-3923,,,Residential Rehabilitation,,,English,,,BSAS,42.3126,-71.1115
"Spectrum Health Systems, Inc.","Boston Pre-Release Center 430 Canterbury St. Boston, Ma 02131",Boston,MA,02131,(508) 792-5400,,,Opioid Treatment,,,English,,,BSAS,42.2836,-71.1295
Suffolk County Jail,"200 Nashua Street Boston, Ma 02114",Nashua Street  Boston,MA,02114,(617) 635-1100,,,Opioid Treatment,,,English,,,BSAS,42.3611,-71.0682
"Suffolk County Sheriffs Department, House of Correction","20 Bradston Street Boston, Ma 02118",Bradston Street  Boston,MA,02118,(617) 635-1100,,,Opioid Treatment,,,English,,,BSAS,42.3362,-71.0729
Sullivan House,"65 Glen Rd. Boston, Ma 02130",Boston,MA,02130,(617) 524-4416,,,Residential Rehabilitation,,,English,,,BSAS,42.3126,-71.1115
The Alternative,"One Monmouth Square Boston, Ma 02128",Square Boston,MA,02128,(617) 569-8222,,,Residential Rehabilitation,,,English,,,BSAS,42.3642,-71.0257
The Community Clinic,"1304 Commonwealth Ave Suite B Boston, Ma 02134",B Boston,MA,02134,(617) 482-5292,,,Outpatient Services,,,English,,,BSAS,42.3535,-71.1329
Transitions TSS,"201 River Street Boston, Ma 02126",River Street  Boston,MA,02126,(617) 534-7126,,,Residential Rehabilitation,,,English,,,BSAS,42.2739,-71.0939
Victory House,"566 Massachusetts Ave. Boston, Ma 02118",Boston,MA,02118,(617) 262-5032,,,Residential Rehabilitation,,,English,,,BSAS,42.3362,-71.0729
West End Clinic Addiction Services (MGH),"100 Blossom Street, Cox-1, Suite 110 Boston, Ma 02114",Boston,MA,02114,(617) 724-2480,,,Outpatient Services,,,English,,,BSAS,42.3611,-71.0682
West End Clinic Addiction Services (MGH),"55 Fruit Street Wang 8 Boston, Ma 02114",Boston,MA,02114,(617) 643-4699,,,Outpatient Services,,,English,,,BSAS,42.3611,-71.0682
Whittier Street Health Center,"1290 Tremont Street Whittier Street Health Center Boston, Ma 02120",Center Boston,MA,02120,(617) 427-1000,,,Outpatient Services,,,English,,,BSAS,42.3307,-71.0912
Women's Hello House,"18 Mt. Vernon Street Boston, Ma 02125",Vernon Street  Boston,MA,02125,(617) 326-6484,,,Residential Rehabilitation,,,English,,,BSAS,42.2973,-71.0745
Women's Hope (COE),"170 Morton Street Floor 11 South Boston, Ma 02130",South Boston,MA,02130,(617) 442-0048,,,Residential Rehabilitation,,,English,,,BSAS,42.3126,-71.1115
Have Hope Peer Recovery Center,37 Main St Suite 201,North Adams,MA,01247,(413) 499-0412,Caitlin.McKinnon@briencenter.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.6955,-73.08
The RECOVER Project,68 Federal St,Greenfield,MA,01301,(413) 774-5489,agodfrey@wmtc.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.6013,-72.6236
Hope for Holyoke,100 Suffolk St,Holyoke,MA,01040,(413) 561-1020,rrodriguez2@gandaracenter.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.202,-72.6262
Valor Recovery Center,383 Worthington St,Springfield,MA,01103,(413) 507-3635,mlopez3@gandaracenter.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.1029,-72.5887
Living in Recovery,75 North St,Pittsfield,MA,01201,(413) 570-8243,jmacdonald@servicenet.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.4531,-73.2471
Northampton Recovery Center,25 Armory St,Northampton,MA,01060,(413) 834-4127,jsullivan@wmtcinfo.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.3223,-72.6313
South County Recovery Center,67 State Rd,Great Barrington,MA,01230,(413) 645-3564,gary@rural-recovery.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.1959,-73.3607
Everyday Miracles,25 Pleasant St,Worcester,MA,01609,(774) 670-4622,everydaymiracles@spectrumhealthsystems.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.2826,-71.8277
No One Walks Alone (NOWA),9 Spring St,Whitinsville,MA,01588,(508) 266-0210,clepore@advocates.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.1153,-71.6644
Alyssa's Place,297 Central St,Gardner,MA,01440,(978) 632-0934,bwagoner@gaamha.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.574,-71.9898
Leaders of Restoration,437 Main St,Fitchburg,MA,01420,(978) 987-1258,kpowers@rrcifitchburg.com,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.5796,-71.8031
Ripple Effect,40 Spruce St,Leominster,MA,01453,(978) 384-7337,lhebert@gaamha.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.5274,-71.7563
Bridge to Hope,219 Everett St,Southbridge,MA,01550,(508) 981-4091,Carmen.ortiz@spectrumhealthsystems.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.075,-72.0353
CORE Peer Recovery & Resource Center,11-17 Parker St,Gloucester,MA,01930,(351) 217-1424,mollyd@corerecovery.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.6208,-70.6721
New Beginnings Peer Recovery Center,487 Essex St,Lawrence,MA,01840,(978) 655-3674,newbeginnings@spectrumhealthsystems.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.708,-71.1638
Recovery Café Lowell,20 Williams St,Lowell,MA,01851,(978) 677-6087,jmellen@riverbendmv.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.6315,-71.3329
The Bridge Recovery Center,239 Commercial St,Malden,MA,02148,(781) 480-4937,jlanneville@maldenovercomingaddiction.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.4291,-71.0605
Recovery Exchange Peer Support Center,35 Exchange St,Lynn,MA,01901,(617) 980-9784,Kim.Patterson@spectrumhealthsystems.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.4612,-70.9467
Ray of Light Recovery Café,222 Washington St,Haverhill,MA,01832,(978) 886-8961,lcarrasquillo@riverbendmv.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.7792,-71.1095
The Recovery Connection,31 Main St,Marlborough,MA,01752,(508) 485-0298,john.marhefka@spectrumhealthsystems.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.3509,-71.5434
A New Way Recovery Center,85 Quincy Ave Suite B,Quincy,MA,02169,(617) 302-3287,ANewWayRC@baystatecs.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.2491,-70.9978
Wey of Life Peer Recovery Center,383 Bridge St,Weymouth,MA,02191,(781) 812-1392,kesson@southshorepeerrecovery.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.2459,-70.9467
Turning Point Recovery Center,32 Common St,Walpole,MA,02081,(508) 668-3960,cobrien@baystatecs.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.1444,-71.2544
Anchored in Recovery,19 Concord St Suite 1,Framingham,MA,01702,(508) 424-2520,bnicholson@smoc.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.2822,-71.4339
Devine Recovery Center,70 Devine Way,South Boston,MA,02127,(857) 496-1384,davedecourcey@gavinfoundation.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.3347,-71.0375
STEPRox Recovery Support Center,153 Blue Hill Ave,Roxbury,MA,02119,(617) 442-7837,lleverett@northsuffolk.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.3251,-71.0953
Room to Grow Recovery Center,39 Boylston St,Boston,MA,02116,(781) 656-5027,shonterwilliams@STFRANCISHOUSE.ORG,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.3492,-71.0768
Recovery on the Harbor,983 Bennington St,East Boston,MA,02128,(617) 874-8046,ACohen@Northsuffolk.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.3642,-71.0257
Torchlight Peer Recovery Support Center,2 Washington St,Dorchester,MA,02121,(617) 465-1299,lamont@torchlightrecovery.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.2973,-71.0745
JP Peer Recovery Center,120 South St,Jamaica Plain,MA,02130,(617) 865-8487,hdemelo@vpi.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.3126,-71.1115
Stairway to Recovery,90 Main St,Brockton,MA,02301,(774) 257-5660,tbarreira@gandaracenter.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,42.0794,-71.04
PIER Recovery Center of Cape Cod,209 Main St,Hyannis,MA,02601,(508) 827-6150,amartin@gandaracenter.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,41.6601,-70.2967
Peer2Peer Recovery Support Center,182 North Main St,Fall River,MA,02720,(508) 567-5086,dbarnes@steppingstoneinc.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,41.7182,-71.14
Plymouth Recovery Support Center,5 Main St Extension,Plymouth,MA,02360,(774) 225-0723,rjencks@gandaracenter.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,41.9104,-70.642
R.I.S.E Recovery Support Center,497 Belleville Rd,New Bedford,MA,02745,(774) 762-4076,DDaniels@paaca.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,41.6913,-70.9355
The Red House,12 Beach Rd,Oak Bluffs,MA,02557,(508) 693-7900,rcropper@mvcommunityservices.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,41.4543,-70.562
Falmouth Peer Recovery Center,769 East Falmouth Hwy,East Falmouth,MA,02536,(508) 996-8900,awilsey@gandaracenter.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,41.5968,-70.5671
Taunton Peer Recovery Support Center,1 Washington St,Taunton,MA,02780,(508) 206-9010,lreid@comcounseling.org,,Peer Support,Varies by location,"Adults, Families",English,Open to individuals in recovery and their loved ones,Free,Peer Recovery Centers,41.905,-71.1026
